symbol,date,price
S4248SM144NCEN,2010-01-01,6558
S4248SM144NCEN,2010-02-01,7481
S4248SM144NCEN,2010-03-01,9475
S4248SM144NCEN,2010-04-01,9424
S4248SM144NCEN,2010-05-01,9351
S4248SM144NCEN,2010-06-01,10552
S4248SM144NCEN,2010-07-01,9077
S4248SM144NCEN,2010-08-01,9273
S4248SM144NCEN,2010-09-01,9420
S4248SM144NCEN,2010-10-01,9413
S4248SM144NCEN,2010-11-01,9866
S4248SM144NCEN,2010-12-01,11455
S4248SM144NCEN,2011-01-01,6901
S4248SM144NCEN,2011-02-01,8014
S4248SM144NCEN,2011-03-01,9832
S4248SM144NCEN,2011-04-01,9281
S4248SM144NCEN,2011-05-01,9967
S4248SM144NCEN,2011-06-01,11344
S4248SM144NCEN,2011-07-01,9106
S4248SM144NCEN,2011-08-01,10469
S4248SM144NCEN,2011-09-01,10085
S4248SM144NCEN,2011-10-01,9612
S4248SM144NCEN,2011-11-01,10328
S4248SM144NCEN,2011-12-01,11483
S4248SM144NCEN,2012-01-01,7486
S4248SM144NCEN,2012-02-01,8641
S4248SM144NCEN,2012-03-01,9709
S4248SM144NCEN,2012-04-01,9423
S4248SM144NCEN,2012-05-01,11342
S4248SM144NCEN,2012-06-01,11274
S4248SM144NCEN,2012-07-01,9845
S4248SM144NCEN,2012-08-01,11163
S4248SM144NCEN,2012-09-01,9532
S4248SM144NCEN,2012-10-01,10754
S4248SM144NCEN,2012-11-01,10953
S4248SM144NCEN,2012-12-01,11922
S4248SM144NCEN,2013-01-01,8395
S4248SM144NCEN,2013-02-01,8888
S4248SM144NCEN,2013-03-01,10110
S4248SM144NCEN,2013-04-01,10493
S4248SM144NCEN,2013-05-01,12218
S4248SM144NCEN,2013-06-01,11385
S4248SM144NCEN,2013-07-01,11186
S4248SM144NCEN,2013-08-01,11462
S4248SM144NCEN,2013-09-01,10494
S4248SM144NCEN,2013-10-01,11540
S4248SM144NCEN,2013-11-01,11138
S4248SM144NCEN,2013-12-01,12709
S4248SM144NCEN,2014-01-01,8557
S4248SM144NCEN,2014-02-01,9059
S4248SM144NCEN,2014-03-01,10055
S4248SM144NCEN,2014-04-01,10977
S4248SM144NCEN,2014-05-01,11792
S4248SM144NCEN,2014-06-01,11904
S4248SM144NCEN,2014-07-01,10965
S4248SM144NCEN,2014-08-01,10981
S4248SM144NCEN,2014-09-01,10828
S4248SM144NCEN,2014-10-01,11817
S4248SM144NCEN,2014-11-01,10470
S4248SM144NCEN,2014-12-01,13310
S4248SM144NCEN,2015-01-01,8400
S4248SM144NCEN,2015-02-01,9062
S4248SM144NCEN,2015-03-01,10722
S4248SM144NCEN,2015-04-01,11107
S4248SM144NCEN,2015-05-01,11508
S4248SM144NCEN,2015-06-01,12904
S4248SM144NCEN,2015-07-01,11869
S4248SM144NCEN,2015-08-01,11224
S4248SM144NCEN,2015-09-01,12022
S4248SM144NCEN,2015-10-01,11983
S4248SM144NCEN,2015-11-01,11506
S4248SM144NCEN,2015-12-01,14183
S4248SM144NCEN,2016-01-01,8650
S4248SM144NCEN,2016-02-01,10324
S4248SM144NCEN,2016-03-01,12109
S4248SM144NCEN,2016-04-01,11423
S4248SM144NCEN,2016-05-01,12242
S4248SM144NCEN,2016-06-01,13685
S4248SM144NCEN,2016-07-01,10955
S4248SM144NCEN,2016-08-01,12705
S4248SM144NCEN,2016-09-01,12276
S4248SM144NCEN,2016-10-01,11910
S4248SM144NCEN,2016-11-01,13021
S4248SM144NCEN,2016-12-01,14425
